network,node1,node2,shortest_path,distance,path_in_N_networks,edge_weight,edge_betweenness
all,111,318,"[111, 318]",1,4,5.0,0.022911877394636012
pinks,111,318,"[111, 318]",1,4,3.0,0.031746031746031744
greens,111,318,"[111, 318]",1,4,3.0,0.018421052631578946
hetero,111,318,"[111, 318]",1,4,3.0,0.06666666666666667
all,318,514,"[318, 514]",1,3,2.0,0.015785440613026818
greens,318,514,"[318, 514]",1,3,1.0,0.15438596491228068
hetero,318,514,"[318, 514]",1,3,1.0,0.13333333333333333
all,113,318,"[113, 318]",1,3,1.0,0.019425287356321836
pinks,113,318,"[113, 318]",1,3,2.0,0.031746031746031744
greens,113,318,"[113, 318]",1,3,1.0,0.04824561403508772
all,112,211,"[112, 211]",1,3,2.0,0.028275862068965513
pinks,112,211,"[112, 211]",1,3,1.0,0.08571428571428572
hetero,112,211,"[112, 211]",1,3,1.0,0.008333333333333333
all,112,318,"[112, 110, 318]",2,3,2.0,0.027931034482758618
pinks,112,318,"[112, 110, 318]",2,3,1.0,0.07746031746031747
greens,112,318,"[112, 110, 318]",2,3,1.0,0.26403508771929823
all,111,112,"[111, 110, 112]",2,3,3.0,0.007356321839080461
pinks,111,112,"[111, 110, 112]",2,3,2.0,0.07428571428571429
greens,111,112,"[111, 110, 112]",2,3,1.0,0.14122807017543862
all,111,113,"[111, 113]",1,3,2.0,0.004597701149425287
pinks,111,113,"[111, 113]",1,3,3.0,0.028571428571428574
greens,111,113,"[111, 113]",1,3,1.0,0.03070175438596491
all,111,514,"[111, 514]",1,3,2.0,0.004597701149425287
pinks,111,514,"[111, 514]",1,3,1.0,0.08095238095238096
hetero,111,514,"[111, 514]",1,3,1.0,0.016666666666666666
all,110,111,"[110, 111]",1,3,2.0,0.009246487867177522
pinks,110,111,"[110, 111]",1,3,1.0,0.09968253968253968
hetero,110,111,"[110, 111]",1,3,1.0,0.025
all,110,112,"[110, 112]",1,3,3.0,0.011264367816091955
pinks,110,112,"[110, 112]",1,3,2.0,0.022222222222222223
hetero,110,112,"[110, 112]",1,3,1.0,0.06666666666666667
all,110,514,"[110, 514]",1,3,2.0,0.010625798212005107
greens,110,514,"[110, 514]",1,3,1.0,0.07368421052631578
hetero,110,514,"[110, 514]",1,3,1.0,0.016666666666666666
all,510,514,"[510, 318, 514]",2,2,1.0,0.026053639846743294
greens,510,514,"[510, 318, 514]",2,2,1.0,0.03333333333333333
all,418,511,"[418, 511]",1,2,1.0,0.0022988505747126436
hetero,418,511,"[418, 511]",1,2,1.0,0.008333333333333333
all,318,510,"[318, 510]",1,2,1.0,0.015402298850574713
hetero,318,510,"[318, 510]",1,2,1.0,0.09166666666666666
pinks,316,318,"[316, 318]",1,2,1.0,0.026031746031746034
greens,316,318,"[316, 318]",1,2,1.0,0.04824561403508772
pinks,314,318,"[314, 318]",1,2,1.0,0.03492063492063492
greens,314,318,"[314, 318]",1,2,1.0,0.059649122807017535
all,314,510,"[314, 510]",1,2,1.0,0.06206896551724138
greens,314,510,"[314, 510]",1,2,1.0,0.06666666666666667
all,313,318,"[313, 318]",1,2,1.0,0.037011494252873554
greens,313,318,"[313, 318]",1,2,1.0,0.07368421052631578
all,313,514,"[313, 514]",1,2,1.0,0.025057471264367814
greens,313,514,"[313, 514]",1,2,1.0,0.015789473684210527
all,311,312,"[311, 312]",1,2,1.0,0.06206896551724138
greens,311,312,"[311, 312]",1,2,1.0,0.005263157894736842
all,310,319,"[310, 319]",1,2,1.0,0.007471264367816092
greens,310,319,"[310, 319]",1,2,1.0,0.1368421052631579
all,214,310,"[214, 310]",1,2,1.0,0.023563218390804597
greens,214,310,"[214, 310]",1,2,1.0,0.010526315789473684
all,214,318,"[214, 318]",1,2,4.0,0.049923371647509575
hetero,214,318,"[214, 318]",1,2,2.0,0.11666666666666667
all,214,319,"[214, 319]",1,2,1.0,0.02471264367816092
greens,214,319,"[214, 319]",1,2,1.0,0.06842105263157895
all,213,310,"[213, 310]",1,2,1.0,0.027905491698595145
greens,213,310,"[213, 310]",1,2,1.0,0.08947368421052632
all,213,318,"[213, 318]",1,2,2.0,0.04670498084291188
hetero,213,318,"[213, 318]",1,2,2.0,0.13333333333333333
all,213,418,"[213, 418]",1,2,1.0,0.022860791826309068
hetero,213,418,"[213, 418]",1,2,1.0,0.05
all,213,511,"[213, 511]",1,2,1.0,0.022860791826309068
hetero,213,511,"[213, 511]",1,2,1.0,0.05
all,213,514,"[213, 514]",1,2,1.0,0.022886334610472542
hetero,213,514,"[213, 514]",1,2,1.0,0.025
all,211,514,"[211, 514]",1,2,1.0,0.03042145593869732
hetero,211,514,"[211, 514]",1,2,1.0,0.05
all,125,211,"[125, 211]",1,2,1.0,0.06206896551724138
pinks,125,211,"[125, 211]",1,2,1.0,0.13333333333333336
all,122,214,"[122, 214]",1,2,1.0,0.03402298850574713
greens,122,214,"[122, 214]",1,2,1.0,0.005263157894736842
all,122,310,"[122, 310]",1,2,1.0,0.006130268199233715
greens,122,310,"[122, 310]",1,2,1.0,0.010526315789473684
all,122,319,"[122, 319]",1,2,1.0,0.0043678160919540234
greens,122,319,"[122, 319]",1,2,1.0,0.06842105263157895
all,121,419,"[121, 419]",1,2,1.0,0.0022988505747126436
hetero,121,419,"[121, 419]",1,2,1.0,0.008333333333333333
pinks,119,314,"[119, 314]",1,2,1.0,0.009523809523809525
greens,119,314,"[119, 314]",1,2,1.0,0.013157894736842105
pinks,119,318,"[119, 318]",1,2,1.0,0.03492063492063492
greens,119,318,"[119, 318]",1,2,1.0,0.04473684210526316
pinks,118,316,"[118, 316]",1,2,1.0,0.009523809523809525
greens,118,316,"[118, 316]",1,2,1.0,0.005263157894736842
pinks,118,318,"[118, 318]",1,2,1.0,0.026031746031746034
greens,118,318,"[118, 318]",1,2,1.0,0.04824561403508772
all,117,214,"[117, 214]",1,2,1.0,0.02911877394636015
hetero,117,214,"[117, 214]",1,2,1.0,0.008333333333333333
all,117,318,"[117, 318]",1,2,1.0,0.03295019157088123
hetero,117,318,"[117, 318]",1,2,1.0,0.11666666666666667
all,116,121,"[116, 121]",1,2,1.0,0.059770114942528735
hetero,116,121,"[116, 121]",1,2,1.0,0.11666666666666667
all,116,124,"[116, 124]",1,2,1.0,0.06206896551724138
hetero,116,124,"[116, 124]",1,2,1.0,0.125
all,116,318,"[116, 318]",1,2,1.0,0.1388505747126437
hetero,116,318,"[116, 318]",1,2,1.0,0.36666666666666664
all,116,419,"[116, 419]",1,2,1.0,0.059770114942528735
hetero,116,419,"[116, 419]",1,2,1.0,0.11666666666666667
all,116,510,"[116, 510]",1,2,1.0,0.08183908045977012
hetero,116,510,"[116, 510]",1,2,1.0,0.03333333333333333
all,115,214,"[115, 214]",1,2,1.0,0.026743295019157086
pinks,115,214,"[115, 214]",1,2,1.0,0.009523809523809525
all,114,122,"[114, 122]",1,2,1.0,0.017547892720306515
greens,114,122,"[114, 122]",1,2,1.0,0.005263157894736842
all,114,214,"[114, 214]",1,2,2.0,0.019297573435504468
greens,114,214,"[114, 214]",1,2,1.0,0.005263157894736842
all,114,310,"[114, 310]",1,2,1.0,0.014878671775223498
greens,114,310,"[114, 310]",1,2,1.0,0.010526315789473684
all,114,319,"[114, 319]",1,2,1.0,0.011379310344827587
greens,114,319,"[114, 319]",1,2,1.0,0.06842105263157895
all,114,514,"[114, 319, 112, 318, 514]",4,2,1.0,0.01998722860791826
pinks,114,514,"[114, 319, 112, 318, 514]",4,2,1.0,0.009523809523809525
all,113,114,"[113, 111, 112, 319, 114]",4,2,1.0,0.012809706257982117
pinks,113,114,"[113, 111, 112, 319, 114]",4,2,1.0,0.04285714285714286
all,113,514,"[113, 318, 514]",2,2,1.0,0.006896551724137931
pinks,113,514,"[113, 318, 514]",2,2,1.0,0.04285714285714286
pinks,113,118,"[113, 118]",1,2,1.0,0.03460317460317461
greens,113,118,"[113, 118]",1,2,1.0,0.005263157894736842
pinks,113,316,"[113, 316]",1,2,1.0,0.0346031746031746
greens,113,316,"[113, 316]",1,2,1.0,0.005263157894736842
all,112,113,"[112, 111, 113]",2,2,1.0,0.007931034482758621
pinks,112,113,"[112, 111, 113]",2,2,1.0,0.06158730158730159
all,112,115,"[112, 115]",1,2,1.0,0.012720306513409961
pinks,112,115,"[112, 115]",1,2,1.0,0.08126984126984126
all,112,214,"[112, 110, 318, 214]",3,2,1.0,0.02628352490421456
pinks,112,214,"[112, 110, 318, 214]",3,2,1.0,0.08126984126984127
all,112,319,"[112, 319]",1,2,1.0,0.022643678160919542
greens,112,319,"[112, 319]",1,2,1.0,0.37894736842105264
all,112,514,"[112, 514]",1,2,1.0,0.01045977011494253
hetero,112,514,"[112, 514]",1,2,1.0,0.05
all,111,114,"[111, 112, 319, 114]",3,2,1.0,0.016768837803320554
pinks,111,114,"[111, 112, 319, 114]",3,2,1.0,0.08095238095238096
all,111,211,"[111, 110, 211]",2,2,1.0,0.018160919540229883
pinks,111,211,"[111, 110, 211]",2,2,1.0,0.1619047619047619
all,111,213,"[111, 213]",1,2,2.0,0.01679438058748403
hetero,111,213,"[111, 213]",1,2,2.0,0.016666666666666666
pinks,111,314,"[111, 314]",1,2,1.0,0.08888888888888889
greens,111,314,"[111, 314]",1,2,1.0,0.05701754385964911
pinks,111,118,"[111, 118]",1,2,1.0,0.06317460317460319
greens,111,118,"[111, 118]",1,2,1.0,0.03070175438596491
pinks,111,119,"[111, 119]",1,2,1.0,0.0888888888888889
greens,111,119,"[111, 119]",1,2,1.0,0.031578947368421054
pinks,111,316,"[111, 316]",1,2,1.0,0.06317460317460317
greens,111,316,"[111, 316]",1,2,1.0,0.03070175438596491
all,110,113,"[110, 514, 318, 113]",3,2,1.0,0.014189016602809707
pinks,110,113,"[110, 514, 318, 113]",3,2,1.0,0.05841269841269842
all,110,115,"[110, 115]",1,2,1.0,0.022605363984674328
pinks,110,115,"[110, 115]",1,2,1.0,0.042539682539682544
all,110,211,"[110, 211]",1,2,1.0,0.042681992337164756
hetero,110,211,"[110, 211]",1,2,1.0,0.06666666666666667
all,110,213,"[110, 213]",1,2,2.0,0.0160536398467433
hetero,110,213,"[110, 213]",1,2,2.0,0.016666666666666666
all,110,214,"[110, 318, 214]",2,2,3.0,0.0377522349936143
pinks,110,214,"[110, 318, 214]",2,2,1.0,0.042539682539682544
all,110,318,"[110, 318]",1,2,3.0,0.027969348659003825
hetero,110,318,"[110, 318]",1,2,1.0,0.2
all,110,418,"[110, 418]",1,2,1.0,0.036909323116219674
hetero,110,418,"[110, 418]",1,2,1.0,0.06666666666666667
all,110,510,"[110, 318, 510]",2,2,1.0,0.04303959131545338
greens,110,510,"[110, 318, 510]",2,2,1.0,0.015789473684210527
all,110,511,"[110, 511]",1,2,1.0,0.03690932311621966
hetero,110,511,"[110, 511]",1,2,1.0,0.06666666666666667
all,512,513,"[512, 513]",1,1,1.0,0.0022988505747126436
hetero,511,514,"[511, 110, 514]",2,1,,
hetero,510,511,"[510, 318, 110, 511]",3,1,,
hetero,419,510,"[419, 116, 510]",2,1,,
hetero,419,511,"[419, 116, 318, 110, 511]",4,1,,
hetero,419,514,"[419, 116, 318, 514]",3,1,,
hetero,418,419,"[418, 110, 318, 116, 419]",4,1,,
hetero,418,510,"[418, 110, 318, 510]",3,1,,
hetero,418,514,"[418, 110, 514]",2,1,,
hetero,415,418,"[415, 213, 418]",2,1,,
hetero,415,419,"[415, 213, 318, 116, 419]",4,1,,
hetero,415,510,"[415, 213, 110, 510]",3,1,,
hetero,415,511,"[415, 213, 511]",2,1,,
hetero,415,514,"[415, 213, 514]",2,1,,
hetero,319,415,"[319, 214, 213, 415]",3,1,,
hetero,319,418,"[319, 112, 110, 418]",3,1,,
hetero,319,419,"[319, 112, 318, 116, 419]",4,1,,
hetero,319,510,"[319, 112, 111, 314, 510]",4,1,,
hetero,319,511,"[319, 112, 110, 511]",3,1,,
hetero,319,514,"[319, 112, 318, 514]",3,1,,
hetero,318,319,"[318, 112, 319]",2,1,,
hetero,318,415,"[318, 213, 415]",2,1,,
hetero,318,418,"[318, 110, 418]",2,1,,
hetero,318,419,"[318, 116, 419]",2,1,,
hetero,318,511,"[318, 110, 511]",2,1,,
hetero,316,514,"[316, 318, 514]",2,1,,
hetero,316,319,"[316, 111, 112, 319]",3,1,,
hetero,316,510,"[316, 111, 314, 510]",3,1,,
hetero,314,319,"[314, 111, 112, 319]",3,1,,
hetero,314,415,"[314, 510, 110, 213, 415]",4,1,,
hetero,314,418,"[314, 510, 110, 418]",3,1,,
hetero,314,419,"[314, 510, 116, 419]",3,1,,
hetero,314,511,"[314, 510, 110, 511]",3,1,,
hetero,314,514,"[314, 318, 514]",2,1,,
hetero,314,316,"[314, 111, 316]",2,1,,
hetero,313,314,"[313, 318, 314]",2,1,,
hetero,313,319,"[313, 318, 112, 319]",3,1,,
hetero,313,415,"[313, 318, 213, 415]",3,1,,
hetero,313,418,"[313, 318, 110, 418]",3,1,,
hetero,313,419,"[313, 318, 116, 419]",3,1,,
hetero,313,510,"[313, 514, 510]",2,1,,
hetero,313,511,"[313, 318, 110, 511]",3,1,,
hetero,313,316,"[313, 318, 316]",2,1,,
hetero,312,313,"[312, 311, 214, 318, 313]",4,1,,
hetero,312,314,"[312, 311, 214, 510, 314]",4,1,,
hetero,312,318,"[312, 311, 214, 318]",3,1,,
hetero,312,319,"[312, 311, 214, 319]",3,1,,
hetero,312,415,"[312, 311, 214, 213, 415]",4,1,,
hetero,312,418,"[312, 311, 214, 110, 418]",4,1,,
hetero,312,419,"[312, 311, 214, 318, 116, 419]",5,1,,
hetero,312,510,"[312, 311, 214, 510]",3,1,,
hetero,312,511,"[312, 311, 214, 110, 511]",4,1,,
hetero,312,514,"[312, 311, 214, 110, 514]",4,1,,
hetero,311,313,"[311, 214, 318, 313]",3,1,,
hetero,311,314,"[311, 214, 510, 314]",3,1,,
hetero,311,318,"[311, 214, 318]",2,1,,
hetero,311,319,"[311, 214, 319]",2,1,,
hetero,311,415,"[311, 214, 213, 415]",3,1,,
hetero,311,418,"[311, 214, 110, 418]",3,1,,
hetero,311,419,"[311, 214, 318, 116, 419]",4,1,,
hetero,311,510,"[311, 214, 510]",2,1,,
hetero,311,511,"[311, 214, 110, 511]",3,1,,
hetero,311,514,"[311, 214, 110, 514]",3,1,,
hetero,310,311,"[310, 214, 311]",2,1,,
hetero,310,312,"[310, 214, 311, 312]",3,1,,
hetero,310,313,"[310, 319, 112, 318, 313]",4,1,,
hetero,310,314,"[310, 319, 112, 111, 314]",4,1,,
hetero,310,318,"[310, 319, 112, 318]",3,1,,
hetero,310,415,"[310, 213, 415]",2,1,,
hetero,310,418,"[310, 213, 418]",2,1,,
hetero,310,419,"[310, 213, 318, 116, 419]",4,1,,
hetero,310,510,"[310, 319, 112, 111, 314, 510]",5,1,,
hetero,310,511,"[310, 213, 511]",2,1,,
